id	dam	sire	Cohort	Immigrant
286	4291	4417	2002	0
287	4291	4417	2002	0
288	4291	71	2002	0
289	206	4429	2002	0
290	206	126	2002	0
291	206	126	2002	0
292	4420	114	2002	0
293	4420	114	2002	0
294	4420	114	2002	0
295	NA	NA	2002	0
296	123	4303	2002	0
297	123	4303	2002	0
298	123	4303	2002	0
299	123	4303	2002	0
300	108	4153	2002	0
301	108	4153	2002	0
302	108	4153	2002	0
303	NA	NA	2002	0
304	170	4463	2002	0
305	170	4418	2002	0
306	170	4463	2002	0
307	170	4463	2002	0
308	170	4418	2002	0
309	41	11	2002	0
310	NA	NA	2002	0
311	41	11	2002	0
312	41	11	2002	0
313	NA	203	2002	0
314	4497	4282	2002	0
315	4497	4282	2002	0
316	NA	NA	2002	0
317	NA	NA	2002	0
318	4497	4282	2002	0
319	4495	4265	2002	0
320	4495	4265	2002	0
321	4495	4265	2002	0
322	4495	4282	2002	0
323	4495	4265	2002	0
324	4501	4418	2002	0
325	4501	4418	2002	0
326	NA	NA	2002	0
327	4501	4275	2002	0
328	4333	129	2002	0
329	4333	129	2002	0
330	4333	129	2002	0
331	4333	129	2002	0
332	4333	129	2002	0
333	4465	16	2002	0
334	4465	4229	2002	0
335	4465	16	2002	0
336	4465	16	2002	0
337	4465	16	2002	0
338	76	144	2002	0
339	76	4247	2002	0
340	76	4247	2002	0
341	NA	NA	2002	0
342	4168	4274	2002	0
343	4246	212	2002	0
344	4168	4274	2002	0
345	4168	4274	2002	0
346	38	4403	2002	0
347	38	4403	2002	0
348	38	4403	2002	0
349	NA	NA	2002	0
350	NA	NA	2002	0
351	4290	4275	2002	0
352	4290	4275	2002	0
353	4290	4275	2002	0
354	4290	4275	2002	0
355	4290	4304	2002	0
356	51	24	2002	0
357	51	24	2002	0
358	51	4229	2002	0
359	51	4229	2002	0
360	4447	4477	2002	0
361	4447	4477	2002	0
362	4447	4477	2002	0
363	4447	4477	2002	0
364	48	46	2002	0
365	48	46	2002	0
366	48	46	2002	0
367	48	46	2002	0
368	NA	NA	2002	0
369	4178	110	2002	0
370	4178	110	2002	0
371	4178	110	2002	0
372	4178	110	2002	0
373	4178	110	2002	0
374	4434	4158	2002	0
375	4434	4415	2002	0
376	NA	NA	2002	0
377	NA	NA	2002	0
378	91	4295	2002	0
379	NA	NA	2002	0
380	NA	NA	2002	0
381	NA	NA	2002	0
382	NA	NA	2002	0
383	4376	4478	2002	0
384	4376	4478	2002	0
385	4376	4478	2002	0
386	4376	4478	2002	0
387	NA	NA	2002	0
388	NA	NA	2002	0
389	122	4503	2002	0
390	122	4503	2002	0
391	NA	NA	2002	0
392	4500	4264	2002	0
393	4500	4264	2002	0
394	4500	4264	2002	0
395	4500	4264	2002	0
396	NA	NA	2002	0
397	4436	4230	2002	0
398	4436	4230	2002	0
399	4436	4230	2002	0
400	4436	4230	2002	0
401	NA	NA	2002	0
402	60	4419	2002	0
403	60	4406	2002	0
404	60	4419	2002	0
405	NA	NA	2002	0
406	28	4325	2002	0
407	28	4325	2002	0
408	NA	NA	2002	0
409	28	4325	2002	0
410	NA	NA	2002	0
411	206	126	2002	0
412	206	4274	2002	0
413	206	126	2002	0
414	206	126	2002	0
415	NA	NA	2002	0
416	4217	4326	2002	0
417	4217	4326	2002	0
418	4217	4326	2002	0
419	4217	4326	2002	0
420	NA	NA	2002	0
421	34	4153	2002	0
422	34	4429	2002	0
423	4504	4464	2002	0
424	34	4153	2002	0
425	32	4229	2002	0
426	32	104	2002	0
427	32	104	2002	0
428	32	104	2002	0
429	32	4229	2002	0
430	4504	4464	2002	0
431	4504	4464	2002	0
432	4504	4464	2002	0
433	4504	4464	2002	0
434	4501	4418	2002	0
435	4501	4418	2002	0
436	4501	4418	2002	0
437	4501	4418	2002	0
438	4333	129	2002	0
439	4333	129	2002	0
440	4333	129	2002	0
441	4333	129	2002	0
442	4177	4467	2002	0
443	4177	4467	2002	0
444	4177	4304	2002	0
445	4177	4304	2002	0
446	NA	NA	2002	0
447	4468	20	2002	0
448	4468	22	2002	0
449	4468	20	2002	0
450	4468	22	2002	0
451	4213	4467	2002	0
452	4213	16	2002	0
453	4213	16	2002	0
454	4213	16	2002	0
455	4213	16	2002	0
456	123	4303	2002	0
457	123	4303	2002	0
458	123	4303	2002	0
459	123	4303	2002	0
460	170	4463	2002	0
461	170	4463	2002	0
462	NA	NA	2002	0
463	4177	4304	2002	0
464	170	4463	2002	0
465	4277	4247	2002	0
466	4277	4247	2002	0
467	4277	4247	2002	0
468	4277	4247	2002	0
469	4497	4282	2002	0
470	4497	4282	2002	0
471	4497	4282	2002	0
472	NA	NA	2002	0
473	4291	4417	2002	0
474	4291	4417	2002	0
475	4291	4415	2002	0
476	4291	4417	2002	0
515	91	115	2003	0
516	NA	NA	2003	0
517	123	4303	2003	0
518	123	4303	2003	0
519	123	4303	2003	0
520	586	285	2003	0
521	586	285	2003	0
522	586	285	2003	0
523	586	285	2003	0
524	353	422	2003	0
525	353	422	2003	0
526	353	422	2003	0
527	353	422	2003	0
528	253	417	2003	0
529	253	417	2003	0
530	253	417	2003	0
531	371	4230	2003	0
532	371	602	2003	0
533	371	4230	2003	0
534	438	11	2003	0
535	438	11	2003	0
536	438	11	2003	0
537	601	645	2003	0
538	601	645	2003	0
539	601	645	2003	0
540	419	4415	2003	0
541	419	4415	2003	0
542	419	4415	2003	0
543	419	4415	2003	0
544	284	4403	2003	0
545	284	4403	2003	0
546	284	4403	2003	0
547	284	4403	2003	0
548	649	626	2003	0
549	649	626	2003	0
550	649	626	2003	0
551	4290	11	2003	0
552	4290	104	2003	0
553	4290	4275	2003	0
554	4290	4275	2003	0
555	206	663	2003	0
556	206	178	2003	0
557	206	178	2003	0
558	206	178	2003	0
559	206	663	2003	0
560	646	4413	2003	0
561	646	4413	2003	0
562	646	4413	2003	0
563	646	4413	2003	0
564	4273	4153	2003	0
565	4273	4435	2003	0
566	4273	4435	2003	0
567	4273	4153	2003	0
568	4273	4153	2003	0
569	4424	4423	2003	0
570	4424	590	2003	0
571	4424	590	2003	0
572	4376	383	2003	0
573	4376	383	2003	0
574	4291	4417	2002	0
575	41	115	2002	0
576	41	11	2002	0
577	41	115	2002	0
578	41	11	2002	0
579	41	11	2002	0
580	4290	4275	2002	0
581	4290	4275	2002	0
582	4290	4275	2002	0
583	4290	4275	2002	0
584	4290	4275	2002	0
585	4168	4274	2002	0
586	4168	4274	2002	0
587	4168	4274	2002	0
588	4168	4274	2002	0
589	4168	4274	2002	0
590	4420	114	2002	0
591	4420	114	2002	0
592	4420	114	2002	0
593	4420	114	2002	0
594	91	4295	2002	0
595	91	4295	2002	0
596	91	4295	2002	0
597	NA	NA	2002	0
598	NA	NA	2002	0
599	51	24	2002	0
600	51	24	2002	0
601	51	24	2002	0
602	51	24	2002	0
603	38	4403	2002	0
604	38	4403	2002	0
605	38	4403	2002	0
606	38	4403	2002	0
607	38	4403	2002	0
608	48	46	2002	0
609	48	46	2002	0
610	48	46	2002	0
611	48	46	2002	0
612	4	44	2002	0
613	4	44	2002	0
614	45	55	2002	0
615	45	55	2002	0
616	4376	4478	2002	0
617	4376	4478	2002	0
618	29	4478	2002	0
619	29	4503	2002	0
620	29	4503	2002	0
621	29	4503	2002	0
622	28	4325	2002	0
623	28	4325	2002	0
624	28	4325	2002	0
625	4436	4230	2002	0
626	4436	4230	2002	0
627	4436	4230	2002	0
628	4436	4230	2002	0
629	4377	4412	2002	0
630	4377	4412	2002	0
631	4377	4412	2002	0
632	NA	NA	2002	0
633	4217	4435	2002	0
634	4217	4435	2002	0
635	4217	4435	2002	0
636	NA	NA	2002	0
637	206	4153	2002	0
638	206	4265	2002	0
639	NA	NA	2002	0
640	NA	NA	2002	0
641	4468	4467	2002	0
642	4468	4467	2002	0
643	4468	4467	2002	0
644	4468	4467	2002	0
645	123	4303	2002	0
646	123	4303	2002	0
647	123	4303	2002	0
648	NA	NA	2002	0
649	4504	4464	2002	0
650	4504	4464	2002	0
651	NA	NA	2002	0
652	NA	NA	2002	0
653	4290	4275	2002	0
654	4290	4275	2002	0
655	4290	4275	2002	0
656	4290	4275	2002	0
657	NA	NA	2002	0
658	4177	4304	2002	0
659	4177	4304	2002	0
660	4177	4304	2002	0
661	4177	4304	2002	0
662	34	4153	2002	0
663	34	4153	2002	0
664	34	4153	2002	0
665	34	4153	2002	0
666	4501	4418	2002	0
667	4501	4418	2002	0
668	NA	NA	2002	0
669	NA	NA	2002	0
670	4447	4477	2002	0
671	4447	4477	2002	0
672	NA	NA	2002	0
673	NA	NA	2002	0
674	NA	NA	2002	0
675	NA	NA	2002	0
676	NA	NA	2002	0
677	4434	4158	2002	0
678	4434	4415	2002	0
679	4434	4415	2002	0
680	4443	4435	2002	0
681	NA	NA	2002	0
682	NA	NA	2002	0
683	NA	NA	2002	0
684	NA	NA	2002	0
685	NA	NA	2002	0
686	NA	NA	2002	0
687	NA	NA	2002	0
688	NA	NA	2002	0
689	NA	NA	2002	0
690	NA	NA	2002	0
691	4500	4264	2002	0
692	4500	4264	2002	0
693	4500	4264	2002	0
694	4500	4264	2002	0
695	NA	NA	2002	0
696	NA	NA	2002	0
697	4434	4415	2002	0
698	4434	4415	2002	0
699	4434	4415	2002	0
700	4434	4415	2002	0
701	4434	4415	2002	0
702	NA	NA	2002	0
703	76	4247	2002	0
704	76	145	2002	0
705	76	145	2002	0
706	NA	NA	2002	0
707	NA	NA	2002	0
708	4168	4429	2002	0
709	4168	4429	2002	0
710	NA	NA	2002	0
711	NA	NA	2002	0
712	NA	NA	2002	0
713	4497	4265	2002	0
714	4497	4265	2002	0
715	4497	4265	2002	0
716	NA	NA	2002	0
717	222	4282	2002	0
718	4246	4415	2002	0
719	4246	115	2002	0
720	4246	4158	2002	0
721	4246	4158	2002	0
722	4497	4282	2001	0
723	4177	4467	2001	0
724	4447	4477	2001	0
725	4500	24	2002	0
726	4213	4274	2002	0
727	NA	NA	2002	0
728	NA	NA	2002	0
729	4447	4477	2002	0
730	4447	4477	2002	0
731	4465	4229	2002	0
732	NA	NA	2002	0
733	4	44	2002	0
734	NA	NA	2003	0
735	4376	383	2003	0
736	NA	NA	2003	0
737	NA	NA	2003	0
738	256	4230	2003	0
739	256	4230	2003	0
740	256	4230	2003	0
741	416	4435	2003	0
742	416	4435	2003	0
743	NA	4413	2003	0
744	427	4304	2003	0
745	427	22	2003	0
746	76	145	2003	0
747	76	145	2003	0
748	670	4274	2003	0
749	253	417	2003	0
750	253	417	2003	0
751	32	4264	2003	0
752	32	4229	2003	0
753	32	4229	2003	0
754	32	4229	2003	0
755	346	4264	2003	0
756	346	4264	2003	0
757	346	4264	2003	0
758	346	4383	2003	0
759	4273	4429	2003	0
760	4273	4429	2003	0
761	4273	145	2003	0
762	723	145	2003	0
763	NA	4422	2003	0
764	595	4422	2003	0
765	309	4326	2003	0
766	45	166	2003	0
767	45	166	2003	0
768	4213	46	2003	0
769	4213	46	2003	0
770	4213	4503	2003	0
771	586	460	2003	0
772	586	460	2003	0
773	586	460	2003	0
774	586	4422	2003	0
775	444	354	2003	0
776	442	4304	2003	0
777	442	4304	2003	0
778	4468	4467	2003	0
779	4497	4265	2003	0
780	28	4325	2003	0
781	28	4325	2003	0
782	NA	NA	2003	0
783	601	4153	2003	0
784	601	55	2003	0
785	4213	104	2003	0
786	4213	104	2003	0
787	4213	104	2003	0
788	NA	NA	2003	0
789	469	46	2003	0
790	NA	NA	2003	0
791	123	4303	2003	0
792	123	4477	2003	0
793	38	4403	2003	0
794	38	4403	2003	0
795	38	4403	2003	0
796	649	626	2003	0
797	649	626	2003	0
798	601	22	2003	0
799	627	4464	2003	0
800	627	4464	2003	0
801	NA	NA	2003	0
802	4424	287	2003	0
803	4424	287	2003	0
804	469	370	2003	0
805	4	104	2003	0
806	353	422	2003	0
807	4213	104	2003	0
808	4213	104	2003	0
809	4213	104	2003	0
810	4213	104	2003	0
811	91	115	2003	0
812	NA	NA	2003	0
813	704	4503	2003	0
814	704	4503	2003	0
815	206	663	2003	0
816	206	663	2003	0
817	206	663	2003	0
818	4290	4275	2003	0
819	4290	4275	2003	0
820	4290	4275	2003	0
821	NA	NA	2003	0
822	4447	4477	2003	0
823	4447	4477	2003	0
824	4447	4477	2003	0
825	4447	4477	2003	0
826	723	44	2003	0
827	723	44	2003	0
828	723	44	2003	0
829	723	44	2003	0
830	4217	4435	2003	0
831	4217	4435	2003	0
832	4217	4435	2003	0
833	4217	4435	2003	0
834	298	363	2003	0
835	298	363	2003	0
836	298	363	2003	0
837	298	363	2003	0
838	284	4275	2003	0
839	284	4275	2003	0
840	NA	NA	2003	0
841	41	574	2003	0
842	41	574	2003	0
843	41	574	2003	0
844	419	590	2003	0
845	419	590	2003	0
846	419	590	2003	0
847	419	590	2003	0
848	NA	NA	2003	0
849	371	602	2003	0
850	371	602	2003	0
851	371	602	2003	0
852	256	129	2003	0
853	256	129	2003	0
854	256	129	2003	0
855	NA	NA	2003	0
856	NA	NA	2003	0
857	122	4417	2003	0
858	122	115	2003	0
859	122	132	2003	0
860	704	4503	2003	0
861	704	4503	2003	0
862	595	356	2003	0
863	595	356	2003	0
864	NA	NA	2003	0
865	595	356	2003	0
866	595	356	2003	0
867	431	412	2003	0
868	431	412	2003	0
869	431	448	2003	0
870	4277	412	2003	0
871	615	4463	2003	0
872	615	145	2003	0
873	615	4463	2003	0
874	615	4463	2003	0
875	646	4413	2003	0
876	646	4413	2003	0
877	646	4413	2003	0
878	646	4413	2003	0
879	471	421	2003	0
880	471	421	2003	0
881	471	421	2003	0
882	471	421	2003	0
883	4273	4429	2003	0
884	NA	NA	2003	0
885	309	4326	2003	0
886	309	4435	2003	0
887	309	4326	2003	0
888	309	4435	2003	0
889	4497	4265	2003	0
890	4497	4265	2003	0
891	4497	4265	2003	0
892	4497	4303	2003	0
893	4497	4265	2003	0
894	604	456	2003	0
895	604	456	2003	0
896	604	456	2003	0
897	346	4264	2003	0
898	346	4264	2003	0
899	346	4264	2003	0
900	442	4304	2003	0
901	442	4304	2003	0
902	442	4304	2003	0
903	442	4304	2003	0
904	427	22	2003	0
905	427	22	2003	0
906	427	22	2003	0
907	427	22	2003	0
908	427	22	2003	0
909	427	22	2003	0
910	416	4418	2003	0
911	416	4418	2003	0
912	416	4418	2003	0
913	416	4418	2003	0
914	NA	NA	2003	0
915	670	4274	2003	0
916	670	4274	2003	0
917	670	4274	2003	0
918	428	370	2003	0
919	428	370	2003	0
920	428	370	2003	0
921	428	370	2003	0
922	428	370	2003	0
923	428	370	2003	0
924	605	44	2003	0
925	60	24	2003	0
926	60	24	2003	0
927	60	24	2003	0
928	60	24	2003	0
929	60	24	2003	0
930	4376	4247	2003	0
931	4376	4247	2003	0
932	4376	4247	2003	0
933	4376	383	2003	0
934	4376	383	2003	0
935	4376	383	2003	0
936	4217	4435	2003	0
937	4217	4435	2003	0
938	4217	4435	2003	0
939	4217	4435	2003	0
940	4217	4435	2003	0
941	284	4464	2003	0
942	284	4464	2003	0
943	284	4464	2003	0
944	615	287	2003	0
945	615	287	2003	0
946	615	287	2003	0
947	615	287	2003	0
948	615	145	2003	0
949	76	145	2003	0
950	76	145	2003	0
951	76	145	2003	0
952	76	145	2003	0
953	605	178	2003	0
954	605	178	2003	0
955	605	178	2003	0
956	605	178	2003	0
957	605	178	2003	0
958	4382	114	2003	0
959	4382	114	2003	0
960	4382	114	2003	0
961	4501	4417	2003	0
962	4501	4417	2003	0
963	4501	4417	2003	0
964	122	132	2003	0
965	122	4417	2003	0
966	122	132	2003	0
967	122	132	2003	0
968	122	132	2003	0
969	298	457	2003	0
970	298	457	2003	0
971	298	457	2003	0
972	298	457	2003	0
973	431	305	2003	0
974	431	356	2003	0
975	431	356	2003	0
976	704	4503	2003	0
977	704	4503	2003	0
978	704	4503	2003	0
979	604	4463	2003	0
980	604	4463	2003	0
981	604	4463	2003	0
982	604	4463	2003	0
983	604	4463	2003	0
984	595	285	2003	0
985	595	725	2003	0
986	595	725	2003	0
987	595	725	2003	0
988	428	4325	2003	0
989	428	4325	2003	0
990	428	4435	2003	0
991	428	4325	2003	0
992	309	251	2003	0
993	309	4326	2003	0
994	309	4326	2003	0
995	309	4326	2003	0
996	309	4435	2003	0
997	471	421	2003	0
998	471	421	2003	0
999	471	421	2003	0
1000	471	421	2003	0
1001	723	44	2003	0
1002	723	44	2003	0
1003	723	44	2003	0
1004	723	44	2003	0
1005	4497	4265	2003	0
1006	4497	4265	2003	0
1007	4497	4265	2003	0
1008	4497	4265	2003	0
1009	45	166	2003	0
1010	45	166	2003	0
1011	45	166	2003	0
1012	45	166	2003	0
1013	427	22	2003	0
1014	427	22	2003	0
1015	427	22	2003	0
1016	427	22	2003	0
1017	427	22	2003	0
1018	346	129	2003	0
1019	346	4264	2003	0
1020	346	4264	2003	0
1021	442	4304	2003	0
1022	442	4304	2003	0
1023	442	4304	2003	0
1024	442	4304	2003	0
1025	91	4503	2003	0
1026	91	4503	2003	0
1027	91	4503	2003	0
1028	91	4503	2003	0
1029	253	417	2003	0
1030	253	417	2003	0
1031	253	417	2003	0
1032	60	24	2003	0
1033	60	24	2003	0
1034	60	24	2003	0
1035	60	24	2003	0
1036	60	24	2003	0
1037	371	4230	2003	0
1038	371	4230	2003	0
1039	371	4230	2003	0
1040	371	4230	2003	0
1041	416	4418	2003	0
1042	416	285	2003	0
1043	416	4418	2003	0
1044	601	645	2003	0
1045	469	115	2003	0
1046	469	115	2003	0
1047	469	115	2003	0
1048	469	115	2003	0
1049	206	663	2003	0
1050	206	663	2003	0
1051	206	663	2003	0
1052	4273	4153	2003	0
1053	4273	4153	2003	0
1054	4273	4153	2003	0
1055	4273	4153	2003	0
1056	4273	4153	2003	0
1057	45	166	2003	0
1058	45	166	2003	0
1059	45	166	2003	0
1060	45	166	2003	0
1061	45	166	2003	0
1062	649	626	2003	0
1063	649	626	2003	0
1064	649	626	2003	0
1065	649	626	2003	0
1066	NA	NA	2003	0
1067	NA	NA	2003	0
1068	471	661	2003	0
1069	471	661	2003	0
1070	471	661	2003	0
1071	NA	NA	2003	0
1072	438	11	2003	0
1073	32	4229	2003	0
1074	32	4229	2003	0
1075	32	4229	2003	0
1076	32	4229	2003	0
1077	353	4247	2003	0
1078	NA	NA	2003	0
1079	353	4247	2003	0
1080	353	24	2003	0
1081	353	4247	2003	0
1082	419	4503	2003	0
1083	419	4503	2003	0
1084	419	4503	2003	0
1085	419	4503	2003	0
1086	646	4229	2003	0
1087	646	4413	2003	0
1088	646	4413	2003	0
1089	646	4413	2003	0
1090	646	4229	2003	0
1091	4290	4275	2003	0
1092	4290	4275	2003	0
1093	4290	4275	2003	0
1094	4290	4275	2003	0
1095	4217	4435	2003	0
1096	4217	4435	2003	0
1097	4217	4435	2003	0
1098	4495	397	2003	0
1099	60	24	2002	0
1100	4468	4467	2002	0
1101	123	370	2003	0
1102	207	110	2002	0
1103	106	4464	2002	0
1104	4497	4265	2003	0
1105	123	4403	2003	0
1106	NA	NA	2003	0
1107	NA	NA	2003	0
1108	NA	NA	2003	0
1109	NA	NA	2003	0
1110	NA	NA	2003	0
1111	NA	NA	2003	0
1112	NA	NA	2003	0
1113	NA	NA	2003	0
1114	NA	NA	2003	0
1115	NA	NA	2003	0
1116	NA	NA	2003	0
1117	NA	NA	2003	0
1118	NA	NA	2003	0
1119	NA	NA	2003	0
1120	NA	NA	2003	0
1121	NA	NA	2003	0
1122	NA	NA	2003	0
1123	NA	NA	2003	0
1124	NA	NA	2003	0
1125	NA	NA	2003	0
1126	NA	NA	2003	0
1127	NA	NA	2003	0
1128	NA	NA	2003	0
1129	NA	NA	2003	0
1130	NA	NA	2003	0
1131	NA	NA	2003	0
1132	NA	NA	2003	0
1133	NA	NA	2003	0
1134	NA	NA	2003	0
1135	NA	NA	2003	0
1136	NA	NA	2003	0
1137	NA	NA	2003	0
1138	NA	NA	2003	0
1139	NA	NA	2003	0
1140	NA	NA	2003	0
1141	4497	4265	2004	0
1142	4497	4388	2004	0
1143	206	663	2004	0
1144	4424	590	2004	0
1145	4424	590	2004	0
1146	4290	4275	2004	0
1147	4290	4304	2004	0
1148	471	661	2004	0
1149	471	145	2004	0
1150	560	1103	2004	0
1151	560	1103	2004	0
1152	560	1103	2004	0
1153	560	1103	2004	0
1154	438	11	2004	0
1155	371	4230	2004	0
